Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CinemaList_Sorting,,,,2023-11-16 16:45:48,2023-11-16 16:48:45,2m - 56.997s,PASSED
,,,,,,,
Test Cases/TC_CinemaApp_ML_02,,Sort movies by release date in both accending and decending orders,,2023-11-16 16:45:49,2023-11-16 16:46:27,38.365s,PASSED
"callTestCase(findTestCase(""TC_CinemaApp_ML_01""), [:], STOP_ON_FAILURE)",,Open Movie Listing Page,,2023-11-16 16:45:49,2023-11-16 16:46:08,18.507s,PASSED
"tap(findTestObject(""MovieListing_sortings/movieListing_sortButton""), 0)",,Tap Sort button,,2023-11-16 16:46:08,2023-11-16 16:46:10,2.199s,PASSED
"tap(findTestObject(""MovieListing_sortings/release date/sortBy - Release date""), 0)",,Tap Release Date,,2023-11-16 16:46:10,2023-11-16 16:46:10,0.473s,PASSED
"tap(findTestObject(""MovieListing_sortings/release date/sortBy - Release date accending and decending""), 0)",,Tap Accending button,,2023-11-16 16:46:10,2023-11-16 16:46:12,1.201s,PASSED
"delay(4, STOP_ON_FAILURE)",,Wait until page load,,2023-11-16 16:46:12,2023-11-16 16:46:16,4.021s,PASSED
"takeScreenshotAsCheckpoint(""Sort Release Date accending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:46:16,2023-11-16 16:46:18,2.240s,PASSED
"tap(findTestObject(""MovieListing_sortings/release date/sortBy - Release date accending and decending""), 0)",,Tap Decending button,,2023-11-16 16:46:18,2023-11-16 16:46:18,0.502s,PASSED
"delay(4, STOP_ON_FAILURE)",,Wait until page load,,2023-11-16 16:46:18,2023-11-16 16:46:22,4.005s,PASSED
"takeScreenshotAsCheckpoint(""Sort Release Date decending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:46:22,2023-11-16 16:46:25,2.474s,PASSED
closeApplication(),,Close Application,,2023-11-16 16:46:25,2023-11-16 16:46:27,2.282s,PASSED
,,,,,,,
Test Cases/TC_CinemaApp_ML_03,,Sort movie list by title in both accending and decending orders,,2023-11-16 16:46:27,2023-11-16 16:47:10,42.630s,PASSED
"callTestCase(findTestCase(""TC_CinemaApp_ML_01""), [:], STOP_ON_FAILURE)",,Open Movie Listing page,,2023-11-16 16:46:27,2023-11-16 16:46:49,21.110s,PASSED
"tap(findTestObject(""MovieListing_sortings/movieListing_sortButton""), 0)",,Tap Sort button,,2023-11-16 16:46:49,2023-11-16 16:46:51,2.212s,PASSED
"tap(findTestObject(""MovieListing_sortings/Title/sortBy -Title""), 0)",,Tap Title,,2023-11-16 16:46:51,2023-11-16 16:46:52,0.924s,PASSED
"tap(findTestObject(""MovieListing_sortings/Title/sortBy - Title accending and decending button""), 0)",,Tap Accending button,,2023-11-16 16:46:52,2023-11-16 16:46:53,1.076s,PASSED
"delay(4, STOP_ON_FAILURE)",,Wait until page load,,2023-11-16 16:46:53,2023-11-16 16:46:57,4.014s,PASSED
"takeScreenshotAsCheckpoint(""Sort Title accending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:46:57,2023-11-16 16:47:00,2.959s,PASSED
"tap(findTestObject(""MovieListing_sortings/Title/sortBy - Title accending and decending button""), 0)",,Tap Decending button,,2023-11-16 16:47:00,2023-11-16 16:47:01,1.254s,PASSED
"delay(4, STOP_ON_FAILURE)",,Wait until page load,,2023-11-16 16:47:01,2023-11-16 16:47:05,4.012s,PASSED
"takeScreenshotAsCheckpoint(""Sort Title decending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:47:05,2023-11-16 16:47:08,2.503s,PASSED
closeApplication(),,Close Application,,2023-11-16 16:47:08,2023-11-16 16:47:10,2.189s,PASSED
,,,,,,,
Test Cases/TC_CinemaApp_ML_04,,Sort movie list by popularity in both accending and decending orders,,2023-11-16 16:47:10,2023-11-16 16:48:45,1m - 35.699s,PASSED
"callTestCase(findTestCase(""TC_CinemaApp_ML_01""), [:], STOP_ON_FAILURE)",,Open Movie Listing page,,2023-11-16 16:47:10,2023-11-16 16:47:25,15.325s,PASSED
"tap(findTestObject(""MovieListing_sortings/movieListing_sortButton""), 0)",,Tap Sort button,,2023-11-16 16:47:25,2023-11-16 16:47:28,2.092s,PASSED
"tap(findTestObject(""MovieListing_sortings/popularity/sortBy - Popularity""), 0)",,Tap Popularity,,2023-11-16 16:47:28,2023-11-16 16:47:29,1.231s,PASSED
"tap(findTestObject(""MovieListing_sortings/popularity/sortBy - Popularity accending and decending""), 0)",,Tap Accending button,,2023-11-16 16:47:29,2023-11-16 16:47:59,30.333s,PASSED
"delay(4, STOP_ON_FAILURE)",,Wait until page load,,2023-11-16 16:47:59,2023-11-16 16:48:03,4.011s,PASSED
"takeScreenshotAsCheckpoint(""Sort Popoularity accending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:48:03,2023-11-16 16:48:07,4.043s,PASSED
"tap(findTestObject(""MovieListing_sortings/popularity/sortBy - Popularity accending and decending""), 0)",,Tap Decending button,,2023-11-16 16:48:07,2023-11-16 16:48:37,30.229s,PASSED
"delay(4, STOP_ON_FAILURE)",,Wait until page load,,2023-11-16 16:48:37,2023-11-16 16:48:41,4.012s,PASSED
"takeScreenshotAsCheckpoint(""Sort Popularity decending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:48:41,2023-11-16 16:48:43,1.805s,PASSED
closeApplication(),,Close Application,,2023-11-16 16:48:43,2023-11-16 16:48:45,2.217s,PASSED
