Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CinemaList_Sorting,,,,2023-11-16 16:24:19,2023-11-16 16:24:57,37.585s,PASSED
,,,,,,,
Test Cases/TC_CinemaApp_ML_02,,Sort movies by release date in both accending and decending orders,,2023-11-16 16:24:19,2023-11-16 16:24:57,37.271s,PASSED
"callTestCase(findTestCase(""TC_CinemaApp_ML_01""), [:], STOP_ON_FAILURE)",,Open Cinema Listing Page,,2023-11-16 16:24:20,2023-11-16 16:24:49,28.671s,PASSED
"tap(findTestObject(""MovieListing_sortings/movieListing_sortButton""), 0)",,Tap Sort button,,2023-11-16 16:24:49,2023-11-16 16:24:50,1.312s,PASSED
"tap(findTestObject(""MovieListing_sortings/release date/sortBy - Release date""), 0)",,Tap Release Date,,2023-11-16 16:24:50,2023-11-16 16:24:51,0.894s,PASSED
"tap(findTestObject(""MovieListing_sortings/release date/sortBy - Release date accending and decending""), 0)",,Tap Accending button,,2023-11-16 16:24:51,2023-11-16 16:24:52,1.110s,PASSED
"takeScreenshotAsCheckpoint(""Sort Release Date accending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:24:52,2023-11-16 16:24:55,2.667s,PASSED
"tap(findTestObject(""MovieListing_sortings/release date/sortBy - Release date accending and decending""), 0)",,Tap Decending button,,2023-11-16 16:24:55,2023-11-16 16:24:55,0.567s,PASSED
"takeScreenshotAsCheckpoint(""Sort Release Date decending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:24:55,2023-11-16 16:24:57,1.558s,PASSED
